year,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,country,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,total_damages
2008,Geophysical,Earthquake,Ground movement,NA,Japan,39.802,141.464,2008,7,23,2008,7,24,1,110000
2008,Hydrological,Flood,Riverine flood,NA,Kenya,0.05,35.12,2008,11,10,2008,11,25,17,NA
2008,Hydrological,Flood,Flash flood,NA,Sri Lanka,7.18,80.77,2008,5,29,2008,6,5,25,NA
2008,Hydrological,Flood,Riverine flood,NA,Sri Lanka,7.83,80.82,2008,3,12,2008,3,14,8,NA
2008,Hydrological,Flood,Riverine flood,NA,Malaysia,4.94,101.8,2008,12,1,2008,12,4,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,Nicaragua,12,-86.37,2008,9,24,2008,10,17,13,NA
2008,Geophysical,Earthquake,Ground movement,NA,Pakistan,30.639,67.351,2008,10,28,2008,10,28,166,10000
2008,Hydrological,Flood,Riverine flood,NA,Peru,-10.11,-73.01,2008,2,4,2008,3,14,40,NA
2008,Hydrological,Flood,Riverine flood,NA,Philippines (the),11.64,125.22,2008,2,12,2008,3,12,63,30733
2008,Hydrological,Flood,Riverine flood,NA,Venezuela (Bolivarian Republic of),9.77,-66.4,2008,11,20,2008,11,23,8,NA
2008,Hydrological,Flood,Flash flood,NA,Viet Nam,14.9,107.46,2008,10,19,2008,10,20,29,4000
2008,Hydrological,Flood,Riverine flood,NA,Viet Nam,20.74,106.32,2008,10,27,2008,11,4,99,479000
2008,Hydrological,Flood,Riverine flood,NA,United States of America (the),36.23,-89.15,2008,3,17,2008,4,20,18,2000
2008,Hydrological,Flood,Riverine flood,NA,Italy,41.83,13.16,2008,12,11,2008,12,15,3,278000
2008,Hydrological,Flood,Riverine flood,NA,Rwanda,-1.72,29.89,2008,10,1,2008,10,6,NA,NA
2008,Meteorological,Storm,Tropical cyclone,NA,Madagascar,-18.69,46.9,2008,2,17,2008,3,3,93,60000
2008,Meteorological,Storm,Tropical cyclone,NA,Thailand,17.31,103.66,2008,8,11,2008,8,20,NA,NA
2008,Meteorological,Storm,Tropical cyclone,NA,United States of America (the),35.05,-90.45,2008,9,12,2008,9,16,82,30000000
2008,Meteorological,Storm,Tropical cyclone,NA,Viet Nam,15.7,107.71,2008,11,17,2008,11,20,17,1000
2008,Hydrological,Flood,Flash flood,NA,Yemen,15.54,49.78,2008,10,23,2008,10,24,90,400000
2008,Hydrological,Flood,NA,NA,India,10.76,78.72,2008,3,20,2008,3,28,37,2000
2008,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),33.86,48.59,2008,5,1,2008,5,1,NA,NA
2008,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),26.743,55.828,2008,9,10,2008,9,10,6,NA
2008,Hydrological,Flood,Riverine flood,NA,Iran (Islamic Republic of),53.26,-1.8,2008,9,9,2008,9,10,19,NA
2008,Hydrological,Flood,Riverine flood,NA,Iran (Islamic Republic of),39.24,44.69,2008,8,7,2008,8,8,3,NA
2008,Hydrological,Flood,Riverine flood,NA,Iraq,36.16,45.11,2008,9,10,2008,9,11,4,NA
2008,Hydrological,Flood,Riverine flood,NA,Japan,35.88,136.38,2008,7,28,2008,7,29,5,NA
2008,Hydrological,Flood,Riverine flood,NA,Kazakhstan,42.3,68.55,2008,2,20,2008,3,3,1,130000
2008,Hydrological,Flood,Flash flood,NA,Kenya,4,41.9,2008,10,14,2008,10,16,3,NA
2008,Hydrological,Flood,Riverine flood,NA,Kenya,-3.38,38.17,2008,3,17,2008,4,5,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,Kenya,-1.57,40.12,2008,6,13,2008,6,20,16,NA
2008,Hydrological,Flood,NA,NA,Kenya,2.83,37.67,2008,3,20,2008,4,2,2,NA
2008,Geophysical,Earthquake,Ground movement,NA,Kyrgyzstan,40.288,72.985,2008,1,13,2008,1,13,NA,NA
2008,Geophysical,Earthquake,Ground movement,NA,Kyrgyzstan,39.533,73.824,2008,10,5,2008,10,5,74,NA
2008,Hydrological,Flood,Flash flood,NA,Sri Lanka,8.57,80.8,2008,11,22,2008,12,4,15,NA
2008,Hydrological,Flood,Flash flood,NA,Morocco,33.73,-4.77,2008,10,23,2008,11,3,30,NA
2008,Hydrological,Flood,Riverine flood,NA,Morocco,32.11,-7.11,2008,2,26,2008,2,28,9,NA
2008,Hydrological,Flood,Riverine flood,NA,Mozambique,-22.92,34.03,2008,12,28,2009,1,19,25,NA
2008,Hydrological,Flood,Flash flood,NA,Malaysia,6.64,101.1,2008,12,28,2009,1,19,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,Namibia,-17.05,17.26,2008,1,30,2008,3,3,42,NA
2008,Hydrological,Flood,Riverine flood,NA,Pakistan,33.92,71.7,2008,8,2,2008,8,4,36,103000
2008,Hydrological,Flood,Riverine flood,NA,Pakistan,30.74,72.63,2008,8,9,2008,8,20,37,NA
2008,Hydrological,Flood,Flash flood,NA,Philippines (the),17.95,147.03,2008,11,21,2008,11,24,10,4088
2008,Hydrological,Flood,Riverine flood,NA,Philippines (the),17.2,121.8,2008,12,1,2008,12,4,29,NA
2008,Geophysical,Earthquake,Ground movement,NA,Russian Federation (the),43.372,46.254,2008,10,11,2008,10,11,13,NA
2008,Geophysical,Earthquake,Ground movement,NA,Rwanda,-2.296,28.9,2008,2,3,2008,2,3,36,NA
2008,Hydrological,Flood,Flash flood,NA,Somalia,1.25,43.5,2008,11,3,2008,11,4,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,Suriname,8.25,-64.88,2008,6,1,2008,6,25,2,NA
2008,Hydrological,Flood,Riverine flood,NA,Chad,9.233,18.35,2008,7,20,2008,8,25,NA,NA
2008,Hydrological,Flood,Flash flood,NA,Thailand,7.55,100.1,2008,11,20,2008,12,20,21,11500
2008,Hydrological,Flood,Flash flood,NA,Thailand,6.64,101.1,2008,12,29,2009,1,19,NA,344
2008,Hydrological,Flood,Riverine flood,NA,"Tanzania, United Republic of",-3.38,38.17,2008,3,17,2008,4,4,1,NA
2008,Geophysical,Earthquake,Ground movement,NA,United States of America (the),41.1444,-114.8721,2008,2,21,2008,2,21,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,United States of America (the),42.84,-123.77,2008,12,29,2009,1,16,NA,NA
2008,Hydrological,Flood,Flash flood,NA,Viet Nam,12.14,107.83,2008,5,11,2008,5,12,4,NA
2008,Hydrological,Flood,Riverine flood,NA,Viet Nam,18.89,107.06,2008,12,25,2009,1,5,9,NA
2009,Geophysical,Earthquake,Ground movement,NA,Italy,42.334,13.334,2009,4,6,2009,4,6,295,2500000
2009,Hydrological,Flood,Riverine flood,NA,Solomon Islands,-8.14,-158.66,2009,1,29,2009,2,6,21,NA
2009,Hydrological,Flood,Riverine flood,NA,Tajikistan,38.51,71.29,2009,4,21,2009,6,1,21,1000
2009,Hydrological,Flood,Riverine flood,NA,United States of America (the),37.66,-81.28,2009,5,3,2009,5,10,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Morocco,32.65,-6.16,2009,2,1,2009,2,12,24,NA
2009,Meteorological,Storm,Tropical cyclone,NA,Madagascar,-17.69,46.42,2009,1,19,2009,1,22,12,NA
2009,Hydrological,Flood,Riverine flood,NA,Romania,47.61,24.93,2009,1,23,2009,1,26,11,NA
2009,Hydrological,Flood,Riverine flood,NA,United States of America (the),48.25,-97.03,2009,3,24,2009,4,20,2,166000
2009,Hydrological,Flood,Riverine flood,NA,United States of America (the),30.84,-85.23,2009,4,6,2009,4,9,NA,NA
2007,Hydrological,Flood,Riverine flood,NA,Congo (the Democratic Republic of the),-4.37,15.38,2007,10,25,2007,10,31,32,NA
2007,Hydrological,Flood,Flash flood,NA,Montenegro,42.46,20.8,2007,11,26,2007,11,29,NA,NA
2007,Hydrological,Flood,Riverine flood,NA,Zimbabwe,-16.66,31.24,2007,12,13,2007,12,NA,3,NA
2007,Hydrological,Flood,Riverine flood,NA,South Africa,-34.09,19.58,2007,7,27,2007,8,2,NA,NA
2007,Hydrological,Flood,Riverine flood,NA,Zambia,-15.94,27.77,2007,12,30,2008,2,27,10,NA
2007,Hydrological,Flood,Riverine flood,NA,Zimbabwe,-20.78,31.24,2007,12,19,2008,1,2,24,NA
2007,Hydrological,Flood,Flash flood,NA,Serbia,42.76,20.8,2007,11,25,2007,11,29,NA,NA
2008,Hydrological,Flood,Riverine flood,NA,South Africa,-29.67,31.09,2008,6,19,2008,6,19,11,1264
2008,Geophysical,Earthquake,Ground movement,NA,Congo (the Democratic Republic of the),-2.296,28.9,2008,2,3,2008,2,3,11,7000
2008,Hydrological,Flood,Riverine flood,NA,South Sudan,9.24,29.66,2008,10,3,2008,10,6,17,NA
2009,Geophysical,Earthquake,Ground movement,NA,Indonesia,-8.207,118.631,2009,9,30,2009,9,30,1195,2200000
2009,Hydrological,Landslide,Mudslide,NA,Brazil,-22.98,-44.07,2009,12,31,2010,1,28,74,145000
2009,Hydrological,Flood,Riverine flood,NA,Bangladesh,25.26,89.09,2009,7,3,2009,7,6,6,NA
2009,Hydrological,Flood,Riverine flood,NA,Brazil,-22.54,-43.12,2009,11,12,2009,11,13,3,NA
2009,Hydrological,Flood,Riverine flood,NA,China,25.31,112.71,2009,7,1,2009,7,8,90,1000000
2009,Hydrological,Flood,Riverine flood,NA,China,26.62,105.15,2009,8,28,2009,9,1,12,NA
2009,Hydrological,Flood,Riverine flood,NA,China,30.86,101.18,2009,7,26,2009,8,4,20,33000
2009,Geophysical,Earthquake,Ground movement,NA,Indonesia,-7.782,107.297,2009,9,2,2009,9,2,128,160000
2009,Hydrological,Flood,Riverine flood,NA,India,11.47,77.85,2009,11,3,2009,11,8,70,64000
2009,Geophysical,Earthquake,Tsunami,NA,American Samoa,-15.489,-172.095,2009,9,29,2009,9,29,34,NA
2009,Hydrological,Flood,Riverine flood,NA,Ghana,5.73,-0.1,2009,6,6,2009,7,8,16,NA
2009,Hydrological,Flood,Riverine flood,NA,South Africa,-29.41,30.82,2009,2,28,2009,3,3,3,NA
2009,Hydrological,Flood,Riverine flood,NA,Zambia,-18.76,24.23,2009,2,27,2009,3,27,31,NA
2009,Geophysical,Earthquake,Ground movement,NA,Albania,41.483,20.388,2009,9,7,2009,9,7,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Argentina,-32.99,-59.05,2009,11,14,2009,11,22,7,NA
2009,Hydrological,Flood,Riverine flood,NA,Australia,-31.17,151.75,2009,12,25,2009,12,28,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Austria,47.4,15.71,2009,7,16,2009,7,19,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Bosnia and Herzegovina,44.87,17.48,2009,7,7,2009,7,15,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Brazil,56.4778,31.26,2009,11,21,2009,11,30,11,50000
2009,Geophysical,Earthquake,Ground movement,NA,Bhutan,-15.489,-172.095,2009,9,21,2009,9,21,11,NA
2009,Geophysical,Earthquake,Ground movement,NA,China,25.632,101.095,2009,7,9,2009,7,9,1,315000
2009,Hydrological,Flood,Riverine flood,NA,China,26.85,110.28,2009,6,19,2009,6,22,11,59000
2009,Hydrological,Flood,Riverine flood,NA,United Kingdom of Great Britain and Northern Ireland (the),54,-1.66,2009,11,19,2009,11,22,3,484000
2009,Geophysical,Earthquake,Ground movement,NA,Georgia,42.66,43.443,2009,9,7,2009,9,7,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Ghana,8.85,-0.99,2009,9,17,2009,9,21,24,NA
2009,Geophysical,Earthquake,Ground movement,NA,Indonesia,-0.72,99.867,2009,11,8,2009,11,8,2,2430
2009,Hydrological,Flood,Riverine flood,NA,India,15.71,78.23,2009,9,25,2009,10,12,355,2150000
2009,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),27.334,56.202,2009,11,3,2009,11,3,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,Afghanistan,35.633,67.658,2010,4,18,2010,4,18,11,NA
2010,Hydrological,Flood,Riverine flood,NA,Afghanistan,35.21,68.85,2010,7,27,2010,8,3,65,NA
2010,Hydrological,Flood,Riverine flood,NA,Australia,-38.07,143.32,2010,9,1,2010,9,15,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Belgium,50.85,4.35,2010,11,11,2010,11,15,3,238146
2010,Hydrological,Flood,Riverine flood,NA,Brazil,-22.44,-43.33,2010,4,4,2010,4,12,256,200000
2010,Geophysical,Earthquake,Ground movement,NA,China,25.558,105.804,2010,1,17,2010,1,17,8,NA
2010,Hydrological,Flood,Riverine flood,NA,Costa Rica,9.074,-83.31,2010,11,1,2010,11,5,24,NA
2010,Hydrological,Flood,Flash flood,NA,France,43.5,6.6,2010,6,15,2010,6,16,25,1500000
2010,Hydrological,Flood,Riverine flood,NA,Haiti,18.42,73.77,2010,2,18,2010,3,2,27,NA
2010,Geophysical,Earthquake,Ground movement,NA,Indonesia,-2.174,136.543,2010,6,16,2010,6,16,17,NA
2010,Hydrological,Flood,Flash flood,NA,Indonesia,-1.22,132.81,2010,10,2,2010,10,6,291,78000
2010,Hydrological,Flood,Riverine flood,NA,Indonesia,-2.14,114.97,2010,7,23,2010,7,25,21,NA
2010,Hydrological,Flood,Flash flood,NA,India,33.53,76.12,2010,8,6,2010,8,8,196,NA
2010,Hydrological,Flood,Riverine flood,NA,India,26.73,82.84,2010,9,18,2010,9,30,200,1680000
2010,Geophysical,Earthquake,Tsunami,NA,Chile,-36.122,-72.898,2010,2,27,2010,2,27,562,30000000
2010,Geophysical,Earthquake,Tsunami,NA,Indonesia,-3.487,100.082,2010,10,25,2010,10,25,530,NA
2010,Hydrological,Flood,Riverine flood,NA,Burkina Faso,12.94,-1.39,2010,7,21,2010,9,NA,16,176
2010,Hydrological,Flood,Riverine flood,NA,Spain,37.811,-5.87,2010,12,6,2010,12,10,2,NA
2010,Meteorological,Storm,Tropical cyclone,NA,Haiti,20.48,-75.88,2010,11,4,2010,11,5,21,NA
2010,Geophysical,Volcanic activity,Ash fall,NA,Iceland,63.62959,-19.64,2010,3,NA,2010,4,NA,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Afghanistan,34.38,62.25,2010,5,5,2010,5,8,70,NA
2010,Hydrological,Flood,Riverine flood,NA,Angola,-16.11,17.25,2010,3,1,2010,3,17,7,NA
2010,Hydrological,Flood,Riverine flood,NA,Australia,-32.42,149.59,2010,2,13,2010,2,16,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Australia,-26.21,147.95,2010,2,28,2010,3,17,NA,109000
2010,Hydrological,Flood,Riverine flood,NA,Australia,-29.83,147.38,2010,11,27,2010,12,6,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Australia,-24.77,147.63,2010,12,25,2011,2,4,35,7300000
2010,Hydrological,Flood,Riverine flood,NA,Bangladesh,24.21,91.03,2010,10,1,2010,10,12,15,NA
2010,Hydrological,Flood,Riverine flood,NA,Bolivia (Plurinational State of),-17.83,-63.6,2010,1,1,2010,1,13,26,NA
2010,Geophysical,Earthquake,Ground movement,NA,China,30.268,105.668,2010,1,30,2010,1,30,1,4400
2010,Geophysical,Earthquake,Ground movement,NA,China,25.523,101.903,2010,2,25,2010,2,25,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,China,33.165,96.548,2010,4,14,2010,4,14,2968,500000
2010,Geophysical,Earthquake,Ground movement,NA,China,27.197,103.005,2010,8,29,2010,8,29,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Colombia,4.113,-72.96,2010,4,6,2011,3,7,418,1000000
2010,Hydrological,Flood,Flash flood,NA,Dominican Republic (the),19.63,-70.56,2010,2,14,2010,2,15,1,NA
2010,Hydrological,Flood,Riverine flood,NA,Dominican Republic (the),19.25,-70.39,2010,7,15,2010,7,15,6,NA
2010,Geophysical,Volcanic activity,Ash fall,NA,Ecuador,-1.467,-78.442,2010,5,28,2010,5,28,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Egypt,28.08,31.09,2010,1,18,2010,1,19,12,NA
2010,Hydrological,Flood,Riverine flood,NA,Greece,40.106,21.46,2010,11,29,2010,12,5,1,NA
2010,Geophysical,Volcanic activity,Ash fall,NA,Guatemala,14.381,-90.601,2010,5,27,2010,5,27,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,Haiti,18.443,-72.571,2010,1,12,2010,1,12,222570,8000000
2010,Geophysical,Volcanic activity,Ash fall,NA,Indonesia,3.17,98.392,2010,8,29,2010,9,7,1,NA
2010,Hydrological,Flood,Flash flood,NA,Indonesia,-8.672,121.6,2010,11,2,2010,11,5,16,NA
2010,Hydrological,Flood,Riverine flood,NA,India,30.18,74.77,2010,7,5,2010,7,15,53,447000
2010,Hydrological,Flood,Riverine flood,NA,India,15.22,79.48,2010,5,18,2010,5,24,27,NA
2010,Hydrological,Flood,Riverine flood,NA,India,26.235,92.25,2010,9,5,2010,9,17,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,India,25.965,76.05,2010,9,9,2010,9,9,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,India,9.88,78.47,2010,11,15,2010,12,7,203,22000
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),32.45,48.3,2010,1,16,2010,1,17,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.221,59.317,2010,7,30,2010,7,30,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),27.022,53.861,2010,7,20,2010,7,20,1,NA
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),33.37,48.94,2010,11,6,2010,11,6,NA,NA
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),28.412,59.18,2010,12,20,2010,12,20,7,NA
2010,Geophysical,Earthquake,Ground movement,NA,Iran (Islamic Republic of),35.49,54.47,2010,8,27,2010,8,27,3,NA
2011,Hydrological,Flood,Riverine flood,NA,Bolivia (Plurinational State of),-16.4659,-65.6,2011,2,14,2011,4,11,52,20000
2011,Hydrological,Flood,Riverine flood,NA,Brazil,-23.783,-48.16,2011,3,12,2011,3,18,10,NA
2011,Hydrological,Flood,Riverine flood,NA,Brazil,-28.28,-52.91,2011,4,21,2011,4,24,12,NA
2011,Hydrological,Flood,Riverine flood,NA,Brazil,-8.65047,-38.11,2011,7,15,2011,7,19,15,NA
2011,Hydrological,Flood,Riverine flood,NA,China,27.0633,108.11,2011,7,11,2011,7,19,6,54130
2011,Hydrological,Flood,Riverine flood,NA,China,27.89,14.47,2011,6,1,2011,6,29,467,6400000
2011,Hydrological,Flood,Riverine flood,NA,Colombia,5.69,-74.15,2011,4,NA,2011,7,NA,138,1030000
2011,Geophysical,Earthquake,Ground movement,NA,India,27.73,88.155,2011,9,18,2011,9,18,112,NA
2011,Geophysical,Earthquake,Tsunami,NA,Indonesia,38.297,142.373,2011,3,11,2011,3,11,1,NA
2011,Hydrological,Flood,Riverine flood,NA,Afghanistan,35.0754,63.99,2011,2,10,2011,2,16,25,NA
2011,Geophysical,Volcanic activity,Ash fall,NA,Argentina,-40.59,-72.12,2011,6,4,2011,6,17,NA,104000
2011,Hydrological,Flood,Riverine flood,NA,Australia,-18.939,122.73,2011,3,14,2011,3,18,NA,NA
2011,Hydrological,Flood,Flash flood,NA,Bangladesh,22.564,89.05,2011,7,21,2011,7,29,10,NA
2011,Geophysical,Earthquake,Ground movement,NA,Bhutan,27.73,88.155,2011,9,18,2011,9,18,1,NA
2011,Geophysical,Volcanic activity,Ash fall,NA,Chile,-40.59,-72.12,2011,6,4,2011,6,17,NA,NA
2011,Geophysical,Earthquake,Ground movement,NA,China,24.693,97.943,2011,2,1,2011,2,1,NA,NA
2011,Geophysical,Earthquake,Ground movement,NA,China,24.727,97.957,2011,3,10,2011,3,10,25,290000
2011,Geophysical,Earthquake,Ground movement,NA,China,20.687,99.822,2011,3,24,2011,3,24,NA,NA
2011,Geophysical,Earthquake,Ground movement,NA,China,27.73,88.155,2011,9,18,2011,9,18,7,NA
2011,Hydrological,Flood,Riverine flood,NA,Dominican Republic (the),18.59,-71.99,2011,6,NA,2011,6,NA,4,NA
2011,Geophysical,Earthquake,Ground movement,NA,Spain,37.699,-1.672,2011,5,11,2011,5,11,10,200000
2011,Hydrological,Flood,Riverine flood,NA,Ghana,7.8439,-0.45,2011,7,22,2011,7,29,6,NA
2011,Hydrological,Flood,Riverine flood,NA,Indonesia,-6.8436,108.26,2011,1,16,2011,1,20,NA,NA
2011,Hydrological,Flood,Riverine flood,NA,Indonesia,4.211,97.09,2011,3,10,2011,3,11,21,NA
2011,Hydrological,Flood,Riverine flood,NA,India,22.306,88.34,2011,8,10,2011,9,13,47,275000
2009,Geophysical,Earthquake,Tsunami,NA,Japan,34.743,138.264,2009,8,10,2009,8,10,1,400000
2009,Meteorological,Storm,Tropical cyclone,NA,Philippines (the),17.57,121.42,2009,9,29,2009,10,10,512,585379
2009,Meteorological,Storm,Tropical cyclone,NA,El Salvador,13.77,-89,2009,11,7,2009,11,9,275,939000
2009,Hydrological,Flood,Riverine flood,NA,Italy,38.11,15.73,2009,10,1,2009,10,6,35,20000
2009,Hydrological,Flood,Riverine flood,NA,Nicaragua,13.42,-88.64,2009,6,19,2009,6,22,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Nepal,29.81,80.76,2009,10,4,2009,10,12,87,60000
2009,Hydrological,Flood,Riverine flood,NA,Nepal,28,85.71,2009,7,26,2009,7,28,30,NA
2009,Hydrological,Flood,Riverine flood,NA,Peru,-12.99,-72.94,2009,12,NA,2010,3,NA,158,NA
2009,Hydrological,Flood,Riverine flood,NA,Sierra Leone,8.57,-12.73,2009,8,13,2009,8,20,103,NA
2009,Hydrological,Flood,Riverine flood,NA,Turkey,41,40.04,2009,7,10,2009,7,16,7,NA
2009,Hydrological,Landslide,Landslide,NA,Turkey,40.83,40.41,2009,11,21,2009,11,22,4,NA
2009,Hydrological,Flood,Riverine flood,NA,"Tanzania, United Republic of",-6.77,35.89,2009,11,10,2009,11,13,20,NA
2009,Geophysical,Earthquake,Tsunami,NA,Tonga,-15.489,-172.095,2009,9,29,2009,9,29,9,9500
2009,Geophysical,Volcanic activity,Ash fall,NA,Philippines (the),13.257,123.685,2009,12,14,2009,12,20,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Lao People's Democratic Republic (the),17.83,104.79,2009,8,10,2009,8,11,10,NA
2009,Hydrological,Flood,Flash flood,NA,Sri Lanka,7.07,79.94,2009,11,21,2009,11,22,NA,NA
2009,Hydrological,Flood,Flash flood,NA,Sri Lanka,8.02,81.27,2009,12,14,2009,12,16,3,NA
2009,Hydrological,Flood,Flash flood,NA,Morocco,31.81,-6.78,2009,12,25,2009,12,26,5,NA
2009,Hydrological,Flood,Riverine flood,NA,Mexico,19.5,-99.25,2009,9,1,2009,9,10,4,NA
2009,Hydrological,Flood,Riverine flood,NA,Mexico,18.48,-91.05,2009,11,1,2009,11,12,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Mexico,16.45,-96.97,2009,7,14,2009,7,16,11,NA
2009,Geophysical,Earthquake,Ground movement,NA,Malawi,-9.948,33.878,2009,12,8,2009,12,8,1,NA
2009,Geophysical,Earthquake,Ground movement,NA,Malawi,-10.108,33.818,2009,12,20,2009,12,20,3,NA
2009,Hydrological,Flood,Riverine flood,NA,Malaysia,5.74,100.96,2009,11,23,2009,11,26,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Malaysia,4.99,102.36,2009,11,20,2009,11,27,NA,NA
2009,Hydrological,Flood,Riverine flood,NA,Nigeria,12.26,5.68,2009,9,10,2009,9,18,NA,NA
2009,Hydrological,Flood,Flash flood,NA,Pakistan,33.92,72.25,2009,8,15,2009,8,17,36,NA
2009,Hydrological,Flood,Riverine flood,NA,Pakistan,24.99,67.19,2009,7,17,2009,7,19,52,NA
2009,Geophysical,Earthquake,Ground movement,NA,Philippines (the),6.513,124.715,2009,9,18,2009,9,19,NA,90
2009,Hydrological,Flood,Riverine flood,NA,Paraguay,-25.1,-56.27,2009,9,22,2009,10,23,NA,820
2009,Hydrological,Flood,Riverine flood,NA,Saudi Arabia,40.23,21.24,2009,11,24,2009,11,26,161,900000
2009,Hydrological,Flood,Riverine flood,NA,Sudan (the),27.01,15.98,2009,8,16,2009,8,26,20,NA
2009,Hydrological,Flood,Riverine flood,NA,Senegal,15.58,-16.81,2009,8,24,2009,8,25,6,NA
2009,Hydrological,Flood,Riverine flood,NA,Thailand,18.48,-91.05,2009,11,7,2009,11,8,15,NA
2009,Hydrological,Flood,Flash flood,NA,Turkey,41.09,38.95,2009,9,7,2009,9,10,40,550000
2009,Hydrological,Flood,Riverine flood,NA,"Tanzania, United Republic of",-6.8,36.02,2009,12,25,2010,1,10,18,NA
2009,Hydrological,Flood,Riverine flood,NA,Uruguay,-31.26,-56.48,2009,11,21,2009,11,30,1,NA
2009,Hydrological,Flood,Riverine flood,NA,Viet Nam,20.67,104.3,2009,7,3,2009,7,6,20,NA
2009,Hydrological,Flood,Riverine flood,NA,Viet Nam,15.19,108.02,2009,9,25,2009,9,28,17,NA
2010,Meteorological,Storm,Tropical cyclone,NA,Jamaica,18.19,-77.29,2010,9,29,2010,9,30,15,150000
2010,Geophysical,Earthquake,Ground movement,NA,Solomon Islands,-8.783,157.354,2010,1,3,2010,1,3,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Portugal,32.76,-16.97,2010,2,20,2010,2,21,43,1350000
2010,Hydrological,Flood,Riverine flood,NA,Mexico,19.94,-99,2010,1,26,2010,2,13,41,16000
2010,Hydrological,Flood,Riverine flood,NA,Kenya,0.01,34.5,2010,3,1,2010,5,14,94,NA
2010,Hydrological,Flood,Riverine flood,NA,Nepal,28.35,84.78,2010,7,25,2010,7,25,12,NA
2010,Hydrological,Flood,Riverine flood,NA,Panama,8.88,-78.59,2010,12,8,2010,12,17,13,NA
2010,Hydrological,Flood,Flash flood,NA,Philippines (the),8.132,125.57,2010,12,24,2011,1,25,110,47411
2010,Hydrological,Flood,Riverine flood,NA,Philippines (the),17.71,121.8,2010,11,1,2010,11,10,16,NA
2010,Hydrological,Flood,Riverine flood,NA,Venezuela (Bolivarian Republic of),9.77,-66.93,2010,11,25,2010,12,6,41,170000
2010,Hydrological,Flood,Flash flood,NA,Kazakhstan,45.08,79.21,2010,2,NA,2010,3,NA,44,34576
2010,Hydrological,Flood,Riverine flood,NA,Nigeria,12.78,4.5,2010,9,13,2010,9,30,40,30000
2010,Meteorological,Storm,Tropical cyclone,NA,Philippines (the),17.1,121.47,2010,7,12,2010,7,15,146,8675
2010,Meteorological,Storm,Tropical cyclone,NA,Taiwan (Province of China),22.429,120.7,2010,9,18,2010,9,20,2,63100
2010,Meteorological,Storm,Convective storm,Severe storm,United States of America (the),36.07,-87.28,2010,4,30,2010,5,3,30,2350000
2010,Meteorological,Storm,Tropical cyclone,NA,United States of America (the),28.89,-97.06,2010,9,7,2010,9,11,8,NA
2010,Hydrological,Flood,Flash flood,NA,Morocco,9.77,-66.93,2010,11,25,2010,12,6,32,29000
2010,Hydrological,Flood,Riverine flood,NA,Italy,45.13,11.14,2010,11,8,2010,11,11,NA,NA
2010,Hydrological,Flood,Riverine flood,NA,Kenya,1.5,36,2010,5,8,2010,5,24,100,NA
2010,Hydrological,Flood,Riverine flood,NA,Liberia,6.01,-7.2,2010,6,25,2010,6,27,1,NA
2010,Hydrological,Flood,Flash flood,NA,Sri Lanka,7.275,80.3,2010,11,10,2010,12,11,7,NA
2010,Hydrological,Flood,Riverine flood,NA,Sri Lanka,6.83,80.59,2010,5,14,2010,5,20,28,105000
